a	indef art one
distasteful	adj. ~ unpleasant; disagreeable
distemper	n. (old method of painting with) colouring matter mixed with water and brushed on walls, etc
distend	v. (cause sth to) swell by means of pressure from inside
distensible	Capable of being stretched out or expanded in every direction.
distension	 n. swelling or being swollen
distention	 the act of distending or the state of being distended especially unduly or abnormally
distil	~ sth (from sth) turn (a liquid) to vapour by heating, then collect the drops of liquid that condense from the vapour when cooled
distill	undergo distillation; of liquids
distillate	the product of distillation
distillation	distilling
distiller	n. person or company that distils
distinct	easily heard, seen, felt or understood; definite
distinction	~ difference or contrast between one person or thing and another
distinctive	adj. ~ that distinguishes sth by making it different from others
distinctly	 adv. in a distinct manner; clearly
distinctness	 n.
distinguish	~ A and B; ~ A from B recognize the difference between (people or things)
distinguishable	adj. ~ (from sb/sth)
distinguished	dignified in appearance or manner
distort	pull or twist out of its usual shape
distorting	to twist or pull out of shape; make bent or misshapen; contort; deform
distortion	 n. distorting or being distorted
distract	 v. ~ sb stop sb concentrating on sth
distracted	 adj. ~ unable to concentrate properly, esp because of one's strong feelings
distrain	 v. ~ (law ) seize a person's property or belongings to force him to pay what he owes (esp rent)
distrait	 adj. absent-minded; not paying attention ;
distraught	 adj. very troubled in mind with grief or worry
distress	(cause of) great pain, sorrow, suffering, etc
distressing	adj. causing distress
distressingly	adv.
distribute	~ sth separate sth into parts and give a share to each person or thing
distribution	giving or being given to each of several people, etc
district	part of a country or town having a particular quality
distrust	 n. lack of trust; suspicion
disturb	move from a settled or usual position or state
disturbance	disturbing or being disturbed
disturbed	adj. over-reacting to stress
disturbing	 [ disturb: ] to intrude on; interrupt
disturbingly	 [ disturb: ] to intrude on; interrupt
disunion	separating or being separated
disused	adj. no longer used
disyllabic	 adj. consisting of two syllables
disyllable	 n. disyllabic word or metrical foot
ditch	narrow channel dug at the edge of a field, road, etc, esp to hold or carry off water
dither	 v. ~ hesitate about what to do; be unable to decide
ditty	n. short simple song
diurnal	of the daytime; not nocturnal
diva	 operatic singer; prima donna
divagate	 turn aside esp. from the main subject of attention or course of argument in writing or speaking
dive	~ (from/off sth) (into sth); ~ (off/in) go head first into water
diver	n. person who dives, esp one who works under water using a diving-suit
diverge	~ (of lines, roads, etc) separate and go in different directions, becoming further apart
divergence	 getting farther apart from a point
divergent	adj. divergent paths, opinions
diverse	adj. of different kinds; varied
diversification	n.
diversify	give variety to (sth); vary
diversion	action of turning sth aside or changing its direction
diversity	n. state of being varied; variety
divert	~ sb/sth (to sth) turn sb/sth from one course to another
diverted	 [ divert: ] to turn (a person or thing) aside from a course; deflect
divest	~ sb of sth take off (sb's clothes)
divestiture	the act of divesting
divide	~ (up) (into sth) (cause sth to) split or break into parts; separate
dividend	share of profits paid to share-holders in a company, or to winners in a football pool
divination	 n. foretelling the future by supernatural means
divine	of, from or like God or a god
divinity	quality of being divine1
divisible	adj. ~(mathematics ) that can be divided, usu with no remainder
division	dividing or being divided
divisional	 adj. of a division
divisive	 adj. causing disagreement or disunity among people
divisor	n. number by which another number is divided
divorce	~ (instance of the) legal ending of a marriage
divulge	v. ~ sth make known (sth secret)
dizziness	n.
dizzy	(of a person) feeling as if everything is spinning around; unable to balance; confused
dizzying	 [ dizzy: ] affected with a whirling or reeling sensation; giddy
do	 aux v (used in front of a full v to form negative sentences and questions )
docile	 adj. easy to control
dock	part of a port, etc where ships go for loading, unloading or repair, esp one fitted with gates to control the water level
docket	document or label listing goods delivered, jobs done, contents of a package, etc ,
doctor	person who has been trained in medical science
doctoral	 adj. of or relating to a doctorate
doctrinaire	adj. rigidly applying a theory with no concern for practical problems
doctrine	 n. set of beliefs held by a church, political party, group of scientists, etc
document	 n. paper, form, book, etc giving information about sth, evidence or proof of sth
documentary	consisting of documents
documentation	documenting or being documented
documented	 [ document: ] a piece of paper, booklet, etc., providing information, esp. of an official or legal nature
dodder	 v. move or act in a shaky unsteady way, because of old age or weakness
dodderer	person who dodders
doddering	adjs weak and uncertain in movement
doddle	 n. task or activity that is easily performed
dodge	move quickly and suddenly to one side in order to avoid
doe	n. female deer, reindeer, rabbit or hare
doff	 v. take off (one's hat)
dog	common domestic animal kept by human beings for work, hunting, etc or as a pet
dogged	 adj. determined; not giving up easily
doggerel	 n. verse that produces a clumsy and ridiculous effect
doggo	adv. lie doggo
dogma	n. belief or set of beliefs put forward by some authority, esp a Church, to be accepted as a matter of faith
dogmatic	of or based on dogma
dogmatically	 adv: state sth dogmatically
dogmatism	n. (quality of) being dogmatic
dogmatist	n. dogmatic person
dogmatize	To make positive assertions without supporting them by argument or evidence.
doldrums	the doldrums parts of the ocean near the equator where there is little or no wind
doleful	adj. sad; mournful
dolesome	 Melancholy.
doll	model of a baby or an adult, usu for a child to play with
dollar	unit of money in the US, Canada, Australia, etc
dolor	Lamentation.
dolorous	 adj. sorrowful
dolphin	n. mammal that looks like a large fish and lives in the sea
dolt	 n. stupid person
doltish	adj. stupid
domain	lands owned or ruled by a nobleman, government, etc
dome	rounded roof with a circular base
domestic	of the home, household or family
domesticate	make used to or fond of housework and home life
domestication	n.
domesticity	n. home or family life
domicile	 n. a person's place of residence, esp as officially established for purposes of taxation, etc ,
dominance	Ascendancy.
dominant	~ most important or prominent; dominating
dominate	have control of or a very strong influence on (people, events, etc)
domination	 supremacy or preeminence over another
domineer	 v. ~ (derog ) try to make sb do exactly what one wants by ordering him about, regardless of what he wants to do
don	teacher at a university, esp at an Oxford or a Cambridge college
donate	 v. ~ sth give (money, goods, etc), esp to a charity; contribute sth
donation	 n. thing donated
donator	One who makes a donation or present.
done	 pp of do
donee	A person to whom a donation is made.
donkey	animal of the horse family, with short legs and long ears
donor	person who gives or donates sth
doodle	 v. make meaningless drawings, scribbles etc, while one is or should be thinking about sth else
doom	death or ruin; any terrible and inevitable fate
doomed	 [ doom: ] death or a terrible fate
door	movable barrier that closes the entrance to a building, room, cupboard, car, etc
doorknob	 n. round knob turned to open a door
doorway	n. opening, filled by a door, into a building, room, car, etc
dopey	(infml ) dazed or sleepy, as if drugged
dorm	 n. dormitory
dormancy	 [ dormant: ] quiet and inactive, as during sleep
dormant	adj. temporarily inactive
dormer	 n. upright window built in a sloping roof
dormitory	sleeping-room with a number of beds, esp in a school or some other institution
dorsal	 adj. of or on the back of an animal or a plant
dose	amount of medicine to be taken at one time
dossier	,
dot	small round mark
dotage	 n. in one's dotage confused in one's mind because of old age
dote	~ on sb/sth show (too) much fondness for sb/sth
doting	 adj. very or excessively loving and devoted
double	twice as much or as many
double-cross	 v. cheat or betray (sb) after getting him to trust one . n
doublet	short close-fitting jacket worn by men, with or without sleeves
doubly	to twice the extent or amount
doubt	~ ~ (as to) whether... (feeling of) uncertainty or disbelief
